,A,B,C
1,0.6114921858126540,0.5335769429756250,0.41583986803316500
2,0.653298049807769,0.5875793925195120,0.7069079584403760
3,0.2567688596313380,0.2159328395648470,0.10847849593731800
4,0.6767381470070250,0.6643920107779060,0.6648249117809480
5,0.6053007443506770,0.5992079917675730,0.5767809604272190
6,0.672474100339493,,
7,0.6060139300016090,0.3908110704828900,0.25405900381314100
8,0.2943743156710710,0.7097668850126450,0.3036221605817850
9,0.6147277948826550,0.7278685509301860,0.6427505986770780
10,0.5958619607047780,-0.24955702085094800,0.51121831285433
11,-0.0029732061302449400,-0.16928764162770600,-0.09211305251829580
12,0.6322355233236930,0.634267606702463,0.6056998399542280
13,0.013950205963971300,0.14334318439467800,0.1461809072596400
14,0.5724926866330150,0.695465409486961,0.5128366894296480
15,0.6692575252595080,0.37995633394496900,0.5467101612730580
16,0.4620446632056120,0.6306135736456970,0.6763456341558020
17,0.650834536850358,0.6019485072079840,0.7262581964300040
18,0.656673457281461,0.3759108188767910,0.749535591221574
19,0.6456646304359000,0.8416279638914850,0.6648149507735260
20,0.5883400428535790,0.7509137473574430,0.3326912388441570
21,0.4907001231619870,0.4036584100062460,0.502925173428671
22,0.5925578490162840,0.8238438535152260,0.4299745044486710
23,0.06581583126194700,0.03965774439243590,-0.14862663512275900
24,0.15933514625675300,0.1939895574774810,0.011079423207239100
25,0.6205680145358890,0.8228835444856300,0.5191157849747960